case,dx,k,pmfu,pmfd,puen,pven,puu,pvu,pud,pvd,pmfude_rate
4,1500.0,39,3D21F21F,00000000,40E31695,00000000,40ECCE5E,00000000,40ECCE5E,00000000,39914924
4,1500.0,40,3D1BA759,00000000,40D9D402,00000000,40E31695,00000000,40E31695,00000000,3984500A
4,1500.0,41,3D151F7E,00000000,40D10866,00000000,40D9D402,00000000,40D9D402,00000000,39700368
4,1500.0,42,3D0E6D52,00000000,40C8B6BA,00000000,40D10866,00000000,40D10866,00000000,395835F8
4,1500.0,43,3D07ACEA,00000000,40C0E399,00000000,40C8B6BA,00000000,40C8B6BA,00000000,39414BF7
4,1500.0,44,3D00FBEF,00000000,40B995EB,00000000,40C0E399,00000000,40C0E399,00000000,392B47F6
4,1500.0,45,3CF4F301,00000000,40B2D7FE,00000000,40B995EB,00000000,40B995EB,00000000,391614DA
4,1500.0,46,3CE88D32,BBCFD19F,40ACB9BB,00000000,40B2D7FE,00000000,40B2D7FE,00000000,3908CD00
4,1500.0,47,3CE99ECC,BBCFD19F,40A75573,00000000,40ACB9BB,00000000,40ACB9BB,00000000,00000000
4,1500.0,48,3C87242F,BBCFD19F,40A2DE29,00000000,40A75573,00000000,40A75573,00000000,00000000
4,1500.0,49,3BD40F5E,BBCFD19F,40A00000,00000000,40A2DE29,00000000,40A2DE29,00000000,00000000
5,1500.0,1,00000000,00000000,42267973,00000000,42267973,00000000,42267973,00000000,00000000
5,1500.0,2,00000000,00000000,4218C04E,00000000,42267973,00000000,42267973,00000000,3C8E054C
5,1500.0,3,3C8E054C,00000000,420DF9F4,00000000,4218C04E,00000000,4218C04E,00000000,3AFE5A60
5,1500.0,4,3C9DEAF2,00000000,4204F03E,00000000,420DF9F4,00000000,420DF9F4,00000000,3AF3563C
5,1500.0,5,3CAD2055,00000000,41FA410F,00000000,4204F03E,00000000,4204F03E,00000000,3AEBB183
5,1500.0,6,3CBBDB6C,00000000,41EC7768,00000000,41FA410F,00000000,41FA410F,00000000,3AE5FC9C
5,1500.0,7,3CCA3B2D,00000000,41E01BEE,00000000,41EC7768,00000000,41EC7768,00000000,3AE17F11
5,1500.0,8,3CD85302,00000000,41D4E6EA,00000000,41E01BEE,00000000,41E01BEE,00000000,3ADDCFE0
5,1500.0,9,3CE62FA8,00000000,41CAA47B,00000000,41D4E6EA,00000000,41D4E6EA,00000000,3ADAAFF9
5,1500.0,10,3CF3D9BA,00000000,41C12DCF,00000000,41CAA47B,00000000,41CAA47B,00000000,3ACD8139
5,1500.0,11,3D0057DB,00000000,41B86510,00000000,41C12DCF,00000000,41C12DCF,00000000,3ABEA8F3
5,1500.0,12,3D064B04,00000000,41B032C9,00000000,41B86510,00000000,41B86510,00000000,3AB1CB8D
5,1500.0,13,3D0BD556,00000000,41A88431,00000000,41B032C9,00000000,41B032C9,00000000,3AA69022
5,1500.0,14,3D11027B,00000000,41A149FA,00000000,41A88431,00000000,41A88431,00000000,3A9D24D1
5,1500.0,15,3D15DEAA,00000000,419A778A,00000000,41A149FA,00000000,41A149FA,00000000,3A9535EE
5,1500.0,16,3D1A7256,00000000,41940254,00000000,419A778A,00000000,419A778A,00000000,3A8E3FD9
5,1500.0,17,3D1EC06C,00000000,418DE175,00000000,41940254,00000000,41940254,00000000,3A87DE19
5,1500.0,18,3D22C73C,00000000,41880D5C,00000000,418DE175,00000000,418DE175,00000000,3A81C7F9
5,1500.0,19,3D268182,00000000,41827F8B,00000000,41880D5C,00000000,41880D5C,00000000,3A7790B1
5,1500.0,20,3D29E792,00000000,417A64CA,00000000,41827F8B,00000000,41827F8B,00000000,3A6B72FE
5,1500.0,21,3D2CF0D2,00000000,41704216,00000000,417A64CA,00000000,417A64CA,00000000,3A5F01AE
5,1500.0,22,3D2F9577,00000000,41668E77,00000000,41704216,00000000,41704216,00000000,3A521896
5,1500.0,23,3D31CF81,00000000,415D4278,00000000,41668E77,00000000,41668E77,00000000,3A44D7C5
5,1500.0,24,3D3398CB,00000000,41545783,00000000,415D4278,00000000,415D4278,00000000,3A381936
5,1500.0,25,3D34EDBC,00000000,414BC7E6,00000000,41545783,00000000,41545783,00000000,3A2DCC00
5,1500.0,26,3D35CAA4,00000000,41438E96,00000000,414BC7E6,00000000,414BC7E6,00000000,3A2594A0
5,1500.0,27,3D36268C,00000000,413BA70A,00000000,41438E96,00000000,41438E96,00000000,3A1D69F4
5,1500.0,28,3D35F82E,00000000,41340D41,00000000,413BA70A,00000000,413BA70A,00000000,3A1547C6
5,1500.0,29,3D353767,00000000,412CBDA9,00000000,41340D41,00000000,41340D41,00000000,3A0D2CF0
5,1500.0,30,3D33DDB4,00000000,4125B528,00000000,412CBDA9,00000000,412CBDA9,00000000,3A0518C8
5,1500.0,31,3D31E6B5,00000000,411EF0F8,00000000,4125B528,00000000,4125B528,00000000,39FA1D87
5,1500.0,32,3D2F50A7,00000000,41186EB8,00000000,411EF0F8,00000000,411EF0F8,00000000,39EA256D
5,1500.0,33,3D2C1CC1,00000000,41122C55,00000000,41186EB8,00000000,41186EB8,00000000,39DA55F6
5,1500.0,34,3D284F87,00000000,410C2814,00000000,41122C55,00000000,41122C55,00000000,39CABE4C
5,1500.0,35,3D23F0EF,00000000,41066088,00000000,410C2814,00000000,410C2814,00000000,39BB6F58
5,1500.0,36,3D1F0C68,00000000,4100D490,00000000,41066088,00000000,41066088,00000000,39AC7C52
5,1500.0,37,3D19B0AD,00000000,40F706C2,00000000,4100D490,00000000,4100D490,00000000,399DF6FA
5,1500.0,38,3D13EF8D,00000000,40ECD90D,00000000,40F706C2,00000000,40F706C2,00000000,398FF218
5,1500.0,39,3D0DDD6C,00000000,40E31FDF,00000000,40ECD90D,00000000,40ECD90D,00000000,39827D68
5,1500.0,40,3D0790D4,00000000,40D9DBFA,00000000,40E31FDF,00000000,40E31FDF,00000000,396C3886
5,1500.0,41,3D01148D,00000000,40D10F1E,00000000,40D9DBFA,00000000,40D9DBFA,00000000,3954DB8B
5,1500.0,42,3CF4F88A,00000000,40C8BC48,00000000,40D10F1E,00000000,40D10F1E,00000000,393E72B1
5,1500.0,43,3CE7C7E5,00000000,40C0E811,00000000,40C8BC48,00000000,40C8BC48,00000000,39291350
5,1500.0,44,3CDAD0B8,BBF8DBCA,40B99961,00000000,40C0E811,00000000,40C0E811,00000000,3914C1CB
