case,dx,k,t3d,qv3d,qc3d,qi3d,u3d,v3d,pcps,p8w,dz8w,rho3d,pi3d,w,qvften,thften,rthcuten,rqvcuten,rqccuten,rqicuten,rucuten,rvcuten
2,1500.0,46,4352E4EE,379C70EC,00000000,00000000,41BD1924,00000000,465CE468,467106C0,448CFCF9,3E6F2BCF,3F1261A1,3CB3C1A3,3123CB36,361FF473,399C3B2F,B11B1223,00000000,325ABB86,B5955556,00000000
2,1500.0,47,434B9019,370CC54D,00000000,00000000,41C0B51F,00000000,46347860,4648C210,44A81537,3E4A7169,3F0A2AFD,3C15C223,3085D09A,3582ADB6,3A66FC12,AFB6F99A,00000000,321A3909,B5EAAAAB,00000000
2,1500.0,48,43468000,36AD284C,00000000,00000000,41C502AB,00000000,460BBE28,46202EB0,44D5E2F1,3E20C163,3F006E70,00000000,00000000,00000000,BA6C8941,33505C56,00000000,00000000,B9082AAB,00000000
2,1500.0,49,43468000,36F52142,00000000,00000000,41CA7C65,00000000,45C56DA0,45EE9B40,4519A92F,3DE31D50,3EE89483,00000000,00000000,00000000,00000000,28088889,00000000,00000000,00000000,00000000
3,1500.0,1,43974000,3CCCB672,00000000,00000000,40A00000,00000000,47C4C68E,47C54400,4232FBC6,3F92512E,3F8045F2,00000000,3380D959,387BA882,B88C8007,B40AEEEF,00000000,00000000,37EBCCCE,00000000
3,1500.0,2,43971AC5,3CCA7E48,00000000,00000000,40A2DD1E,00000000,47C386CA,47C4491D,428B5D1F,3F918D46,3F800A41,3A0A2FFA,33807D1A,387AF457,B7198D4D,B32D7778,00000000,00000000,37EBCCCE,00000000
3,1500.0,3,4396E0CC,3CC6CB66,00000000,00000000,40A752C9,00000000,47C1DB71,47C2C476,42A840DC,3F90909C,3F7F741B,3AB0ADEC,337FDAE4,3879DBC3,37916083,B37C6667,00000000,00000000,37EBCCCE,00000000
3,1500.0,4,43969ACD,3CC25563,00000000,00000000,40ACB51E,00000000,47BFEC14,47C0F26C,42BEED2B,3F8F6DB4,3F7EB8F0,3B1942B9,337E8006,38788906,36DEFABF,B368AAAB,00000000,00000000,37EBCCCE,00000000
3,1500.0,5,43964B61,3CBD5673,00000000,00000000,40B2D12F,00000000,47BDC730,47BEE5BD,42D26446,3F8E2BC0,3F7DE7F5,3B62E0E0,337CF669,387708A3,388F0960,B41A4CCD,2E070CDC,00000000,37057778,00000000
3,1500.0,6,4395F3DB,3CB7EF36,00000000,00000000,40B98CB7,00000000,47BB7530,47BCA8A3,42E3EB11,3F8CCEFC,3F7D03E5,3B99F445,337B44AB,38756110,38C694FF,B424AAAB,2FB33925,00000000,37C4999A,00000000
3,1500.0,7,4395950A,3CB2360D,00000000,00000000,40C0D7D2,00000000,47B8FBC1,47BA41BE,42F43065,3F8B5A35,3F7C0E76,3BC5C500,33796ECD,38739634,38C30101,B426F778,30202ADC,00000000,3793999A,00000000
3,1500.0,8,43952F75,3CAC3BCD,00000000,00000000,40C8A838,00000000,47B65F04,47B7B5C4,4301CF20,3F89CF6D,3F7B08CB,3BF49A37,33777762,3871AA96,38D0D9E3,B42CDDDE,306A40E2,00000000,379B6667,00000000
3,1500.0,9,4394C375,3CA60DB5,00000000,00000000,40D0F702,00000000,47B3A227,47B50844,43093E64,3F883026,3F79F3A9,3C131EAB,33756028,386F9FE7,38DFF536,B4323334,309E2115,00000000,37A37778,00000000
