case,dx,k,ptu,pqu,plu,pmfu,pmfus,pmfuq,pmful,plude,pdmfup,plglac,pmfude_rate,ptenh_out,pqenh_out,klab
2,1500.0,40,4394BB7C,3CAEA66F,3A9A2B5E,3F41F080,4864A87E,3C844F8D,3A69970F,36A9C603,38A5AE80,00000000,3BA668A6,4393FE98,3C97AAE8,2
2,1500.0,41,43950CD0,3CB27EED,3A82968D,3F38F191,4859808C,3C80F3A9,3A3CAEDE,367CC322,38962783,00000000,3B96312E,439474A4,3C9E12A8,2
2,1500.0,42,43955910,3CB61F14,3A576A20,3F2FC6D7,484E384C,3C7A1967,3A13E8DD,36333091,38848648,00000000,3B869AE9,4394E4B2,3CA41B0B,2
2,1500.0,43,43959FFB,3CB97F17,3A2A6596,3F26971B,4842FCA1,3C716BCD,39DDC4E6,35E90DBA,3859B890,00000000,3B6F68EB,43954E96,3CA9F918,2
2,1500.0,44,4395E14D,3CBC974A,39F9340D,3F1D8A89,4837FBC7,3C681DAE,39995BC7,3575F2DE,380EACAF,00000000,3B530164,4395B20D,3CAFA214,2
2,1500.0,45,43961CBA,3CBF6062,39953280,3F14CA7B,482D6510,3C5E762D,392D6E67,33ACBBC8,00000000,00000000,3B43BE73,43960EB6,3CB50949,2
2,1500.0,46,43964E28,3CC17CB2,37E1E800,3F158E39,482DEB1B,3C621224,3783F989,00000000,00000000,00000000,00000000,439663FC,3CBA1E60,2
2,1500.0,47,4396B150,3CC2DB43,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,4396B0FB,3CBECB55,1
2,1500.0,48,43971C61,3CC33D97,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,43971561,3CC215AE,1
2,1500.0,49,43972408,3CC7B8C5,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,43972408,3CC7B8C5,1
3,1500.0,1,43468000,36F520CD,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,43468000,36F520CD,0
3,1500.0,2,432C3572,339E8FCF,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,43526077,385C7D10,0
3,1500.0,3,43445A51,36A8D0F7,3A428106,3ECA125F,480AA78A,36054100,399987C4,3860F984,394F7384,00000000,3D34416B,434907F0,36E35496,2
3,1500.0,4,43516A62,37F70AB0,3A9FC154,3EE09A8C,481A15D3,3758BE7E,3A0C299B,389E4364,3995A2C1,00000000,3D2C6573,434F3A4A,3762CBD2,2
