case,dx,k,ptenh,pqenh,pgeo,pgeoh,paph,pmfu,ptd,pqd,pmfd,pmfds,pmfdq,pdmfdp
3,1500.0,47,4396B0FB,3CBECB55,44BFE5AF,44F37A35,47C0F26C,00000000,4396B0FB,3CBECB55,00000000,00000000,00000000,00000000
3,1500.0,48,43971561,3CC215AE,44432FC8,448C5129,47C2C476,00000000,43971561,3CC215AE,00000000,00000000,00000000,00000000
3,1500.0,49,43972408,3CC7B8C5,435B7A80,43DB7A80,47C4491D,00000000,43972408,3CC7B8C5,00000000,00000000,00000000,00000000
4,1500.0,1,4346CCCC,37003AF3,483B1480,4846DFE3,459C4000,00000000,4346CCCC,37003AF3,00000000,00000000,00000000,00000000
4,1500.0,2,4352B078,38664751,482713B7,482F491E,45EE9B40,00000000,4352B078,38664751,00000000,00000000,00000000,00000000
4,1500.0,3,43494766,36EB4DE3,48186BD9,481EDE52,46202EB0,3EB71093,434F1DF4,37C3C0E0,00000000,00000000,00000000,00000000
4,1500.0,4,435246B7,37E7C503,480C90F5,4811F960,4648C210,3ECB8610,435246B7,37E7C503,00000000,00000000,00000000,00000000
4,1500.0,5,43588527,3853D412,48027C00,4807288A,467106C0,3EDF1818,43588527,3853D412,00000000,00000000,00000000,00000000
4,1500.0,6,435E11F9,38AE2CEA,47F35EF3,47FB9EEE,468C7DC8,3EF20C4C,435E11F9,38AE2CEA,00000000,00000000,00000000,00000000
4,1500.0,7,43630E5A,3904328F,47E3BA18,47EB1EF8,46A04FA4,3F02454F,43630E5A,3904328F,00000000,00000000,00000000,00000000
4,1500.0,8,4367943C,393CABF5,47D5A088,47DC5536,46B3F860,3F0B560E,4367943C,393CABF5,00000000,00000000,00000000,00000000
4,1500.0,9,436BB799,398045E0,47C8C850,47CEEBD8,46C77754,3F14409C,436BB799,398045E0,00000000,00000000,00000000,00000000
4,1500.0,10,436F880F,39A7D067,47BCFB29,47C2A4C7,46DACBE0,3F1D0A8E,436F880F,39A7D067,00000000,00000000,00000000,00000000
4,1500.0,11,437311FE,39E727D2,47B21002,47B7518C,46EDF550,3F25465B,437311FE,39E727D2,00000000,00000000,00000000,00000000
4,1500.0,12,43765F37,3A1E8228,47A7E6F3,47ACCE76,47007974,3F2CE350,43765F37,3A1E8228,00000000,00000000,00000000,00000000
4,1500.0,13,437977AF,3A5308BC,479E66B8,47A2FF6F,4709E1F6,3F33F5A2,437977AF,3A5308BC,00000000,00000000,00000000,00000000
4,1500.0,14,437C607A,3A8943E7,47957AEA,4799CE00,471333CA,3F3A8D12,437C607A,3A8943E7,00000000,00000000,00000000,00000000
4,1500.0,15,437F1F5D,3AAED19F,478D12D7,479127D5,471C6E89,3F40BA09,437F1F5D,3AAED19F,00000000,00000000,00000000,00000000
4,1500.0,16,4380DD7F,3ADA1119,478520A3,4788FDDA,472591C4,3F46889A,4380DD7F,3ADA1119,00000000,00000000,00000000,00000000
4,1500.0,17,43821B88,3B059F74,477B315C,4781436C,472E9D0C,3F4BFDD6,43821B88,3B059F74,00000000,00000000,00000000,00000000
4,1500.0,18,43834B3E,3B214824,476CE23D,4773DBDD,47378FE4,3F5118EB,43834B3E,3B214824,00000000,00000000,00000000,00000000
4,1500.0,19,43846DD3,3B4017F5,475F4315,4765E89C,474069D0,3F55D486,43846DD3,3B4017F5,00000000,00000000,00000000,00000000
4,1500.0,20,43858448,3B621E1B,4752456C,47589D90,47492A4A,3F5A283F,43858448,3B621E1B,00000000,00000000,00000000,00000000
4,1500.0,21,43868F78,3B83B1B6,4745DCB1,474BED48,4751D0C6,3F5E0A67,43868F78,3B83B1B6,00000000,00000000,00000000,00000000
4,1500.0,22,43879027,3B97F4D4,4739FDFA,473FCC1B,475A5CB1,3F61721A,43879027,3B97F4D4,00000000,00000000,00000000,00000000
