case,dx,k,puen,pven,pten,pqen,pqte,pverv,puu,pvu,pmfus,pmfuq,pmful,plude
4,1500.0,33,411222E8,00000000,4390AEDA,3C5EE3EC,B3606917,BE6A2023,41186459,00000000,00000000,00000000,00000000,00000000
4,1500.0,34,410C1F8D,00000000,43914B32,3C6D1271,B3636FE0,BE5A50AA,411222E8,00000000,00000000,00000000,00000000,00000000
4,1500.0,35,410658DC,00000000,4391E160,3C7B640A,B3665820,BE4A33FF,410C1F8D,00000000,00000000,00000000,00000000,00000000
4,1500.0,36,4100CDB4,00000000,43927182,3C84E62E,B3692269,BE39E2C1,410658DC,00000000,00000000,00000000,00000000,00000000
4,1500.0,37,40F6FA98,00000000,4392FBAC,3C8C1EFE,B36BCF20,BE297512,4100CDB4,00000000,00000000,00000000,00000000,00000000
4,1500.0,38,40ECCE5E,00000000,43937FEB,3C93554E,B36E5E80,BE1902B2,40F6FA98,00000000,00000000,00000000,00000000,00000000
4,1500.0,39,40E31695,00000000,4393FE40,3C9A8123,B370D092,BE08A34E,40ECCE5E,00000000,00000000,00000000,00000000,00000000
4,1500.0,40,40D9D402,00000000,439476A2,3CA11FF4,B3732526,BDF0DFE5,40E31695,00000000,00000000,00000000,00000000,00000000
4,1500.0,41,40D10866,00000000,4394E8F9,3CA762B3,B3755BC8,BDD10094,40D9D402,00000000,00000000,00000000,00000000,00000000
4,1500.0,42,40C8B6BA,00000000,4395551F,3CAD7AD5,B37773BB,BDB1DAB3,40D10866,00000000,00000000,00000000,00000000,00000000
4,1500.0,43,40C0E399,00000000,4395BAD7,3CB35D8C,B3796BD6,BD93A563,40C8B6BA,00000000,00000000,00000000,00000000,00000000
4,1500.0,44,40B995EB,00000000,439619C9,3CB8FE1E,B37B425B,BD6D3C27,40C0E399,00000000,00000000,00000000,00000000,00000000
4,1500.0,45,40B2D7FE,00000000,4396716E,3CBE4C51,B37CF4B3,BD361956,40B995EB,00000000,00000000,00000000,00000000,00000000
