case,dx,k,ptent,ptenq,pcte
9,1500.0,22,366B6F22,327115A4,00000000
9,1500.0,23,3671AAA1,3277776E,00000000
9,1500.0,24,3677A531,327D96B9,00000000
9,1500.0,25,367D629F,3281BBB6,00000000
9,1500.0,26,3681731C,32848E73,00000000
9,1500.0,27,36841982,32874521,00000000
9,1500.0,28,3686A5D7,3289E11E,00000000
9,1500.0,29,3689194F,328C63A5,00000000
9,1500.0,30,368B74F1,328ECDC3,00000000
9,1500.0,31,368DB9AA,3291206D,00000000
9,1500.0,32,368FE849,32935C73,00000000
9,1500.0,33,3692017C,3295828B,00000000
9,1500.0,34,369405D8,3297934C,00000000
9,1500.0,35,3695F5D7,32998F33,00000000
9,1500.0,36,3697D1DB,329B76A3,00000000
9,1500.0,37,36999A26,329D49E1,00000000
9,1500.0,38,369B4277,329EFC61,00000000
9,1500.0,39,369CD7D3,32A09B78,00000000
9,1500.0,40,369E5A12,32A226FC,00000000
9,1500.0,41,369FC8EB,32A39EA3,00000000
9,1500.0,42,36A123E1,32A501ED,00000000
9,1500.0,43,36A26A36,32A65017,00000000
9,1500.0,44,36A39AC9,32A787F9,00000000
9,1500.0,45,36A4B3EE,32A8A7DE,00000000
9,1500.0,46,36A5B30E,32A9AD1D,00000000
9,1500.0,47,36A693E1,32AA9355,00000000
9,1500.0,48,36A74E19,32AB5205,00000000
9,1500.0,49,36A7C5AC,32ABCC77,00000000
10,1500.0,1,00000000,00000000,00000000
10,1500.0,2,00000000,00000000,00000000
10,1500.0,3,341013BE,301388F4,00000000
10,1500.0,4,350510E0,3108426F,00000000
10,1500.0,5,3558F16B,315E2651,00000000
10,1500.0,6,35917C01,3194F9DD,00000000
10,1500.0,7,35B2A870,31B6F21D,00000000
10,1500.0,8,35D0BE8B,31D5C112,00000000
10,1500.0,9,35EC4998,31F1F558,00000000
10,1500.0,10,3602D8DF,3205FCCC,00000000
10,1500.0,11,360EA393,32120FF3,00000000
10,1500.0,12,3619A464,321D545F,00000000
10,1500.0,13,3623F48C,3227E3E3,00000000
10,1500.0,14,362DA88F,3231D385,00000000
10,1500.0,15,3636D15B,323B3497,00000000
10,1500.0,16,363F7D1C,3244159E,00000000
10,1500.0,17,3647B7BA,324C82CB,00000000
10,1500.0,18,364F8B5C,32548683,00000000
10,1500.0,19,365700BB,325C29B6,00000000
10,1500.0,20,365E1F5D,32637416,00000000
10,1500.0,21,3664EDCB,326A6C55,00000000
10,1500.0,22,366B71BC,3271184E,00000000
10,1500.0,23,3671B02F,32777D1E,00000000
10,1500.0,24,3677AD8E,327D9F4A,00000000
10,1500.0,25,367D6DAD,3281C15F,00000000
10,1500.0,26,368179EE,3284956F,00000000
10,1500.0,27,36842192,32874D62,00000000
10,1500.0,28,3686AF19,3289EA99,00000000
10,1500.0,29,368923B6,328C6E4C,00000000
10,1500.0,30,368B8073,328ED98D,00000000
10,1500.0,31,368DBB91,3291225F,00000000
10,1500.0,32,368FE0F9,329354F7,00000000
10,1500.0,33,3691F15A,32957207,00000000
10,1500.0,34,3693ED48,32977A25,00000000
10,1500.0,35,3695D53A,32996DCD,00000000
10,1500.0,36,3697A990,329B4D60,00000000
10,1500.0,37,36996A8B,329D1922,00000000
10,1500.0,38,369B1854,329ED13B,00000000
10,1500.0,39,369CB2ED,32A075B0,00000000
10,1500.0,40,369E3A33,32A20659,00000000
10,1500.0,41,369FADD6,32A382E8,00000000
10,1500.0,42,36A10D59,32A4EADA,00000000
10,1500.0,43,36A257F9,32A63D6A,00000000
10,1500.0,44,36A38C93,32A7796C,00000000
10,1500.0,45,36A4A972,32A89D21,00000000
10,1500.0,46,36A5ABF7,32A9A5DA,00000000
10,1500.0,47,36A68FCA,32AA8F25,00000000
10,1500.0,48,36A74C7F,32AB5061,00000000
10,1500.0,49,36A7C5AC,32ABCC77,00000000
11,1500.0,1,00000000,00000000,00000000
11,1500.0,2,00000000,00000000,00000000
11,1500.0,3,34B687A9,2FBAE920,00000000
11,1500.0,4,35F206EC,30F7D5F0,00000000
11,1500.0,5,364DE26D,3152D361,00000000
11,1500.0,6,368C64B0,318FC344,00000000
11,1500.0,7,36ADF58E,31B2225C,00000000
11,1500.0,8,36CC669D,31D14E74,00000000
11,1500.0,9,36E844C5,31EDD7D4,00000000
11,1500.0,10,3700FCB0,3204152F,00000000
11,1500.0,11,370CEAC0,32104C8C,00000000
11,1500.0,12,37180C6D,321BB29D,00000000
11,1500.0,13,37227B38,32266181,00000000
11,1500.0,14,372C4BE3,32306E7A,00000000
11,1500.0,15,37358F8E,3239EB10,00000000
11,1500.0,16,373E548A,3242E5EE,00000000
11,1500.0,17,3746A6E4,324B6B69,00000000
11,1500.0,18,374E90E2,32538607,00000000
11,1500.0,19,37561B52,325B3ECB,00000000
11,1500.0,20,375D4DD3,32629D84,00000000
11,1500.0,21,37642F00,3269A8F6,00000000
11,1500.0,22,376AC4A1,3270670B,00000000
11,1500.0,23,377113C2,3276DCF0,00000000
11,1500.0,24,377720DC,327D0F37,00000000
11,1500.0,25,377CEFD7,328180F1,00000000
11,1500.0,26,37814209,32845C33,00000000
11,1500.0,27,3783F051,32871AF3,00000000
11,1500.0,28,37868420,3289BE97,00000000
11,1500.0,29,3788FEAA,328C485D,00000000
11,1500.0,30,378B6101,328EB959,00000000
11,1500.0,31,378DAC13,32911282,00000000
11,1500.0,32,378FE0B2,329354AE,00000000
