case,dx,k,ptenh,pqenh,pqsenh,ptu,pqu,plu,pmfu,pmfub_s,pqsen,pap,paph,pgeoh,pgeo,klab
3,1500.0,33,4390200F,3C4E96FB,3C61DCEE,439158F7,3C8426DF,39D0B918,00000000,3F158E39,3C6B9DC8,479A1ECA,47985B0D,46AD272B,46A5ABC1,2
3,1500.0,34,4390BF6D,3C5C209D,3C6F2EA0,4391D7EF,3C89863A,39C7AF70,00000000,3F158E39,3C791C15,479D9C7B,479BE286,469E3058,4696FF38,2
3,1500.0,35,439158B2,3C69D751,3C7C9487,439252E4,3C8EE8DC,39BEB7A0,00000000,3F158E39,3C835283,47A10632,479F5670,468FCE18,4688E58E,2
3,1500.0,36,4391EBFA,3C77AFCD,3C850220,4392C9BE,3C9449C4,39B5CD00,00000000,3F158E39,3C8A16E5,47A45B0A,47A2B5F3,4681FD03,4676B768,2
3,1500.0,37,4392795F,3C82CF13,3C8BB985,43933C50,3C99A220,39ACE700,00000000,3F158E39,3C90D540,47A79A06,47A60021,466974CA,465CBEBF,2
3,1500.0,38,439300EC,3C89CA6C,3C926A65,4393AA57,3C9EE93B,39A3ED7F,00000000,3F158E39,3C978784,47AAC205,47A933EB,465008B6,4643DE26,2
3,1500.0,39,439382AC,3C90C31D,3C990EC0,4394137A,3CA4144C,399AAB7E,00000000,3F158E39,3C9E26B4,47ADD1BE,47AC501F,4637B397,462C1458,2
3,1500.0,40,4393FE98,3C97B11E,3C9F9F7E,43947749,3CA915FE,3990BE7B,00000000,3F158E39,3CA4AB94,47B0C7B3,47AF535C,46207519,46156211,2
3,1500.0,41,439474A4,3C9E12A8,3CA6154C,4394D588,3CADE50C,3985D3F6,00000000,3F158E39,3CAB0DBC,47B3A227,47B23C0A,460A4F09,45FF94A2,2
3,1500.0,42,4394E4B2,3CA41B0B,3CAC67A2,43952E23,3CB27B73,39733158,00000000,3F158E39,3CB143C6,47B65F04,47B50844,45EA8B2F,45D6A57A,2
3,1500.0,43,43954E96,3CA9F918,3CB28CFD,439580B9,3CB6CD21,39560EB0,00000000,3F158E39,3CB742E8,47B8FBC1,47B7B5C4,45C2BFC5,45B008C7,2
3,1500.0,44,4395B20D,3CAFA214,3CB87A47,4395CCB4,3CBAC9AE,392FCC60,00000000,3F158E39,3CBCFE27,47BB7530,47BA41BE,459D51CA,458BDA08,2
3,1500.0,45,43960EB6,3CB50949,3CBE2242,4396116A,3CBE5F78,38EF4380,00000000,3F158E39,3CC26502,47BDC730,47BCA8A3,4574C48E,455484C8,2
