case,dx,k,zmfd,zmfds,zmfdq,zdmfdp,ztd,zqd,pmfdde_rate,ztenh,zqenh
5,1500.0,27,00000000,00000000,00000000,00000000,438C1304,3C05D731,00000000,438C1304,3C05D731
5,1500.0,28,00000000,00000000,00000000,00000000,438CDB98,3C11C304,00000000,438CDB98,3C11C304
5,1500.0,29,00000000,00000000,00000000,00000000,438D9CB5,3C1E142A,00000000,438D9CB5,3C1E142A
5,1500.0,30,00000000,00000000,00000000,00000000,438E56A8,3C2AC30B,00000000,438E56A8,3C2AC30B
5,1500.0,31,00000000,00000000,00000000,00000000,438F09B6,3C37C70A,00000000,438F09B6,3C37C70A
5,1500.0,32,00000000,00000000,00000000,00000000,438FB61D,3C451774,00000000,438FB61D,3C451774
5,1500.0,33,00000000,00000000,00000000,00000000,43905C12,3C52AA9D,00000000,43905C12,3C52AA9D
5,1500.0,34,00000000,00000000,00000000,00000000,4390FBC5,3C607699,00000000,4390FBC5,3C607699
5,1500.0,35,00000000,00000000,00000000,00000000,43919559,3C6E7098,00000000,43919559,3C6E7098
5,1500.0,36,00000000,00000000,00000000,00000000,439228EE,3C7C8D01,00000000,439228EE,3C7C8D01
5,1500.0,37,00000000,00000000,00000000,00000000,4392B69C,3C855FB8,00000000,4392B69C,3C855FB8
5,1500.0,38,00000000,00000000,00000000,00000000,43933E72,3C8C7D64,00000000,43933E72,3C8C7D64
5,1500.0,39,00000000,00000000,00000000,00000000,4393C075,3C93982C,00000000,4393C075,3C93982C
5,1500.0,40,00000000,00000000,00000000,00000000,43943CA5,3C9AA845,00000000,43943CA5,3C9AA845
5,1500.0,41,00000000,00000000,00000000,00000000,4394B2EF,3CA129F1,00000000,4394B2EF,3CA129F1
5,1500.0,42,00000000,00000000,00000000,00000000,4395233A,3CA74DB8,00000000,4395233A,3CA74DB8
5,1500.0,43,00000000,00000000,00000000,B7E08B51,43958D57,3CAD4666,00000000,43958D57,3CAD4666
5,1500.0,44,BE337778,C751803E,BB832DB4,B81F0450,4395CFA8,3CBB1E94,00000000,4395F105,3CB30913
5,1500.0,45,BE0C4F68,C7236BD8,BB4F9998,B7DB40AC,4396063D,3CBD62D7,3D1CA03E,43964DE0,3CB888AB
5,1500.0,46,BDCFA151,C6F151BE,BB1B50C4,B78728FB,439637DE,3CBF7F80,3D11FAFE,4396A356,3CBDB4BD
5,1500.0,47,BD8CCE72,C6A356A0,BAD4C4F4,B70A029F,439664C7,3CC16AF8,3D05A5BD,4396F082,3CC276F2
5,1500.0,48,BD22E743,C63CA664,BA7850E2,B6339443,43968C42,3CC31CBC,3CED6B42,4397554B,3CC5D27B
5,1500.0,49,BC7F9F94,C593CD94,B9C43A68,00000000,4396ACE5,3CC4846D,3CC5FEBC,439763FA,3CCB8E9B
6,1500.0,1,00000000,00000000,00000000,00000000,435D4000,391DF558,00000000,435D4000,391DF558
6,1500.0,2,00000000,00000000,00000000,00000000,4368B412,3A59B75E,00000000,4368B412,3A59B75E
