case,dx,k,prsl,ghtl,omg,tf,qvf,qcf,qif,uf,vf,qvftenz,thftenz,prsi,ghti
4,1500.0,3,46347860,467898EF,BC0E1869,434BC200,3710B985,00000000,00000000,420DE5E8,00000000,B1448E9F,B63FF348,46202EB0,46818E6B
4,1500.0,4,465CE468,4665430F,BD100FFE,435318A2,37A0A165,00000000,00000000,4204DDBE,00000000,B1F3BF52,B6EE08D6,4648C210,466E1508
4,1500.0,5,46828094,4654D18C,BD90AAF5,43597050,38176CAC,00000000,00000000,41FA1EBC,00000000,B238BCB3,B7346847,467106C0,465C7116
4,1500.0,6,469666B6,464677B4,BDD9E9EE,435F0946,387F0EBB,00000000,00000000,41EC5772,00000000,B270376D,B76A9621,468C7DC8,464D3203
4,1500.0,7,46AA2402,4639B5C4,BE1089FC,43640D92,38C5E7AA,00000000,00000000,41DFFE17,00000000,B290F85D,B78D928B,46A04FA4,463FBD65
4,1500.0,8,46BDB7DA,462E3630,BE32359D,43689A54,39105561,00000000,00000000,41D4CB00,00000000,B2A78495,B7A3977A,46B3F860,4633AE22
4,1500.0,9,46D1219A,4623BCAA,BE516A56,436CC49A,39489A51,00000000,00000000,41CA8A54,00000000,B2BC28BD,B7B7BFC9,46C77754,4628BE3D
4,1500.0,10,46E46098,461A1CEF,BE6DD132,43709C27,39987E64,00000000,00000000,41C11548,00000000,B2CF32F3,B7CA57C1,46DACBE0,461EBB16
4,1500.0,11,46F7741C,46113580,BE839D82,43742D17,39E3D200,00000000,00000000,41B84E0C,00000000,B2E0DF3D,B7DB9A01,46EDF550,46157EC8
4,1500.0,12,47052DB5,4608EC5A,BE8ECA1B,437780F2,3A219DE0,00000000,00000000,41B01D2C,00000000,B2F15CCC,B7EBB49F,47007974,460CEC37
4,1500.0,13,470E8AE0,46012CE2,BE986E1E,437A9F57,3A5C3E7B,00000000,00000000,41A86FE6,00000000,B30068B6,B7FACC84,4709E1F6,4604EC7D
4,1500.0,14,4717D12A,45F3CCE8,BEA09019,437D8E7C,3A914663,00000000,00000000,41A136EC,00000000,B307ADF3,B8047FDF,471333CA,45FADA8C
4,1500.0,15,47210026,45E616E6,BEA73B6B,438029C0,3ABA9612,00000000,00000000,419A65A6,00000000,B30E8ACC,B80B338B,471C6E89,45ECBF45
4,1500.0,16,472A1768,45D92122,BEAC7EC0,43817956,3AEA5176,00000000,00000000,4193F188,00000000,B31509DF,B8118BA4,472591C4,45DF6E88
4,1500.0,17,47331678,45CCD8A8,BEB06B04,4382B7CE,3B1056CC,00000000,00000000,418DD1B4,00000000,B31B341B,B81790E2,472E9D0C,45D2D3BD
4,1500.0,18,473BFCDA,45C12D67,BEB3129E,4383E6B0,3B2EE8F0,00000000,00000000,4187FE96,00000000,B321111C,B81D4AB5,47378FE4,45C6DD92
4,1500.0,19,4744CA0D,45B611A6,BEB488C3,4385074E,3B50ECB1,00000000,00000000,418271B3,00000000,B326A76C,B822BF80,474069D0,45BB7D3C
