case,dx,k,ptu,pqu,plu,pmfu,pmfus,pmfuq,pmful,pdmfup,plrain,klab
6,1500.0,9,4372D583,3A685863,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
6,1500.0,10,4377C8BE,3AB0426B,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
6,1500.0,11,437C0391,3AF6CA72,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
6,1500.0,12,437FA0DF,3B23202C,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
6,1500.0,13,43816131,3B4DC1CE,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
6,1500.0,14,4382C29D,3B79F479,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
6,1500.0,15,4383FFA4,3B936367,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
6,1500.0,16,43852075,3BA9CAED,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
6,1500.0,17,43862B44,3BBFFB57,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
6,1500.0,18,438724E2,3BD5D14F,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
6,1500.0,19,438811FC,3BEB5155,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
