case,dx,k,ztp1,zqp1,zqsat,pgeo,pgeoh,pverv,ptte,pqte
4,1500.0,35,4391E160,3C7B640A,3C85B6B6,46891451,468FFF10,BE4A33FF,B860F20F,B3665820
4,1500.0,36,43927182,3C84E62E,3C8C9874,46770C3C,46822992,BE39E2C1,B863AB9A,B3692269
4,1500.0,37,4392FBAC,3C8C1EFE,3C93740B,465D0B21,4669C554,BE297512,B8664845,B36BCF20
4,1500.0,38,43937FEB,3C93554E,3C9A433F,46442257,465050EE,BE1902B2,B868C849,B36E5E80
4,1500.0,39,4393FE40,3C9A8123,3CA0FF1A,462C509A,4637F3BF,BE08A34E,B86B2BAF,B370D092
4,1500.0,40,439476A2,3CA11FF4,3CA7A021,461596AD,4620AD76,BDF0DFE5,B86D7247,B3732526
4,1500.0,41,4394E8F9,3CA762B3,3CAE1DCE,45FFEF20,460A7FE4,BDD10094,B86F9BA2,B3755BC8
4,1500.0,42,4395551F,3CAD7AD5,3CB46EA9,45D6F1E0,45EADE78,BDB1DAB3,B871A705,B37773BB
4,1500.0,43,4395BAD7,3CB35D8C,3CBA878F,45B047BC,45C30546,BD93A563,B873934F,B3796BD6
4,1500.0,44,439619C9,3CB8FE1E,3CC05B65,458C0C48,459D8A34,BD6D3C27,B8755ECD,B37B425B
4,1500.0,45,4396716E,3CBE4C51,3CC5D973,4554D177,45751CB8,BD361956,B87706F7,B37CF4B3
4,1500.0,46,4396C0F8,3CC332A9,3CCAEB93,451737C1,45348636,BD0295AA,B87887E3,B37E7EDC
4,1500.0,47,4397070F,3CC79134,3CCF70CB,44C02B6C,44F3D297,BCA74D72,B879DB1B,B37FDA38
4,1500.0,48,4397411E,3CCB2FE4,3CD32F36,444376E7,448C8441,BC2B5A6E,B87AF415,B3807CF8
4,1500.0,49,43976666,3CCD5B59,3CD56D65,435BCA97,43DBCA97,BB41B38B,B87BA882,B380D959
5,1500.0,1,43470000,3704242C,3751AE3B,483B35FB,48470468,80000000,00000000,00000000
5,1500.0,2,43470000,36BAAFDB,37141E24,4827300D,482F6790,80000000,00000000,00000000
5,1500.0,3,434BE4EA,37138CD2,37748409,481884F6,481EF88A,BC0C30F3,357CA637,30815B3F
5,1500.0,4,43533CCE,37A39E75,3811407A,480CA80A,48121162,BD0EF791,361DEE92,3121B8E8
5,1500.0,5,43599592,381A2153,38919ED9,4802915B,48073EB1,BD90147C,366FD714,317598A9
5,1500.0,6,435F2F7E,3881BAA8,3901AB54,47F386A4,47FBC808,BDD94F23,369C1050,319FCF2B
5,1500.0,7,436434A8,38C93716,3953AF76,47E3DF17,47EB453D,BE103CA5,36BC752A,31C0FB0D
5,1500.0,8,4368C231,3912AE0B,39A1B2EE,47D5C31C,47DC78F2,BE31E9EE,36D9D621,31DF1084
5,1500.0,9,436CED2E,394BC75D,39EA7F8C,47C8E8AF,47CF0D46,BE512172,36F4BB28,31FA9AC9
5,1500.0,10,4370C564,3999F098,3A231115,47BD1982,47C2C418,BE6D8BDE,3706C506,320A010C
5,1500.0,11,437456F2,39E50192,3A5B241E,47B22C78,47B76EEC,BE837CDD,37124881,3215CB45
5,1500.0,12,4377AB5E,3A21F067,3A8F19BC,47A801AB,47ACEA06,BE8EABA0,371D06C1,3220CB86
5,1500.0,13,437ACA4C,3A5C1F64,3AB67794,479E7FCF,47A31951,BE9851DD,37271869,322B1B0C
5,1500.0,14,437DB9F2,3A90E33B,3AE4F556,4795927A,4799E64C,BEA07615,37309185,3234CE5B
5,1500.0,15,43803FB8,3AB9BFB3,3B0D991D,478D28F7,47913EA7,BEA72396,3739829C,323DF663
5,1500.0,16,43818F87,3AE8E2F9,3B2C838A,47853568,47891347,BEAC690A,3741F983,3246A14B
5,1500.0,17,4382CE34,3B0F3E3D,3B4EFEF5,477B5856,47815789,BEB0575A,374A01DD,324EDAFF
5,1500.0,18,4383FD49,3B2D570E,3B74AAA2,476D06CD,47740199,BEB300E0,3751A594,3256ADA7
5,1500.0,19,43851E18,3B4EC669,3B8E8155,475F655B,47660BFF,BEB478DD,3758ED2F,325E21FB
5,1500.0,20,438631C4,3B739098,3BA3B18D,47526585,4758BEB8,BEB4D2F3,375FE006,32653F84
5,1500.0,21,4387394A,3B8DDA07,3BB98617,4745FABB,474C0C52,BEB422EB,3766847D,326C0CCA
5,1500.0,22,43883588,3BA394FD,3BCF9362,473A1A0E,473FE923,BEB27C60,376CE027,32728F84
5,1500.0,23,43892740,3BBAF324,3BE5A72B,472EB9F1,47344AFB,BEAFF2A4,3772F7E9,3278CCB5
5,1500.0,24,438A0F1D,3BD3EC03,3BFC7CF1,4723D1FB,472928E9,BEAC9898,3778D011,327EC8C6
5,1500.0,25,438AEDB3,3BEC38BE,3C0A0EB2,47195ACF,471E7B0C,BEA8827A,377E6C5D,328243C5
5,1500.0,26,438BC385,3C01AAF7,3C163C49,470F4E00,47143A92,BEA3C26B,3781E80E,32850633
5,1500.0,27,438C9109,3C0DA7FF,3C22BF2F,4705A5D3,470A616F,BE9E67DD,37847F21,3287AD30
5,1500.0,28,438D56A7,3C1A0BEB,3C2F8F0F,46F8BA56,4700EA37,BE98835A,3786FCB9,328A3A16
5,1500.0,29,438E14BD,3C26CEDF,3C3CA38A,46E6DEFE,46EFA03E,BE9224BE,37896202,328CAE16
