case,dx,k,ptenh,pqenh,puen,pven,pten,pqsen,pgeo,pgeoh,paph,ptu,pqu,plu,puu,pvu,ptd_in,pqd_in,pmfd_in,pmfds_in,pmfdq_in,pdmfdp_in
2,1500.0,31,438ECE68,3C332097,4197E11C,00000000,438F3F60,3C50EB16,46C4CCB7,46CCE340,47911463,439104AA,3C852009,3B4E8B7F,41988E03,00000000,438ECE68,3C332097,00000000,00000000,00000000,00000000
2,1500.0,32,438F7A76,3C4043C4,41973ACA,00000000,438FE84B,3C5E3522,46B4EE75,46BCB62C,4794C0C7,439180E6,3C8A19C2,3B3D566A,4197E11C,00000000,438F7A76,3C4043C4,00000000,00000000,00000000,00000000
2,1500.0,33,43902013,3C4DAB61,41969AD8,00000000,43908ABD,3C6B9E44,46A5AB64,46AD26BF,47985B0D,4391F87E,3C8F0644,3B2CFCE4,41973ACA,00000000,43902013,3C4DAB61,00000000,00000000,00000000,00000000
2,1500.0,34,4390BF71,3C5B4DA2,4196011A,00000000,439126E2,3C791C74,4696FEF6,469E3009,479BE286,43926B87,3C93E2AB,3B1D6F3E,41969AD8,00000000,4390BF71,3C5B4DA2,00000000,00000000,00000000,00000000
2,1500.0,35,439158B5,3C691FB8,41956D6C,00000000,4391BCDF,3C8352A2,4688E562,468FCDE3,479F5670,4392DA05,3C98AB20,3B0E9CE5,4196011A,00000000,439158B5,3C691FB8,00000000,00000000,00000000,00000000
2,1500.0,36,4391EBFC,3C77162E,4194DFB0,00000000,43924CD2,3C8A16F4,4676B735,4681FCE2,47A2B5F3,439343EE,3C9D5AE4,3B007493,41956D6C,00000000,4391EBFC,3C77162E,00000000,00000000,00000000,00000000
2,1500.0,37,43927960,3C829266,419457D2,00000000,4392D6CF,3C90D553,465CBEA7,466974A6,47A60021,4393A92F,3CA1EC60,3AE5C89E,4194DFB0,00000000,43927960,3C829266,00000000,00000000,00000000,00000000
2,1500.0,38,439300EC,3C899F06,4193D5C7,00000000,43935AE2,3C978784,4643DE1F,465008A8,47A933EB,439409A5,3CA65915,3ACBB551,419457D2,00000000,439300EC,3C899F06,00000000,00000000,00000000,00000000
2,1500.0,39,439382AC,3C90A9DF,4193598D,00000000,4393D90C,3C9E26B4,462C1457,4637B395,47AC501F,43946525,3CAA99BA,3AB28D04,4193D5C7,00000000,439382AC,3C90A9DF,00000000,00000000,00000000,00000000
2,1500.0,40,4393FE98,3C97AAE8,4192E32E,00000000,43945145,3CA4AB94,46156211,46207519,47AF535C,4394BB7C,3CAEA66F,3A9A2B5E,4193598D,00000000,4393FE98,3C97AAE8,00000000,00000000,00000000,00000000
