case,dx,k,ptte
1,4500.0,39,394183B3
1,4500.0,40,393799C1
1,4500.0,41,392D80CD
1,4500.0,42,3936E584
1,4500.0,43,38EC101C
1,4500.0,44,38D1AF55
1,4500.0,45,38C03A0C
1,4500.0,46,38C526B0
1,4500.0,47,37A9DAC7
1,4500.0,48,36D679BB
1,4500.0,49,3783C35B
2,4500.0,1,00000000
2,4500.0,2,BAC24D53
2,4500.0,3,3ACC38BB
2,4500.0,4,3A12E189
2,4500.0,5,3AA24143
2,4500.0,6,3AA1545F
2,4500.0,7,3AA06744
2,4500.0,8,3A9F1E71
2,4500.0,9,3A9D6DBF
2,4500.0,10,3A9929FC
2,4500.0,11,3A945AC1
2,4500.0,12,3A900C85
2,4500.0,13,3A8C9AE1
2,4500.0,14,3A89D2A6
