case,dx,k,paph,puen,pven,pmfu,pmfd,puu,pud,pvu,pvd,ptenu_in,ptenv_in
4,1500.0,1,459C4000,42266007,00000000,00000000,00000000,42266007,42266007,00000000,00000000,00000000,00000000
4,1500.0,2,45EE9B40,4218AA6A,00000000,00000000,00000000,42266007,42266007,00000000,00000000,00000000,00000000
4,1500.0,3,46202EB0,420DE5E8,00000000,3C9C2D4B,00000000,41E2879D,4218AA6A,00000000,00000000,00000000,00000000
4,1500.0,4,4648C210,4204DDBE,00000000,3CADA185,00000000,41D3F6AA,420DE5E8,00000000,00000000,00000000,00000000
4,1500.0,5,467106C0,41FA1EBC,00000000,3CBE53B2,00000000,41C7A6C7,4204DDBE,00000000,00000000,00000000,00000000
4,1500.0,6,468C7DC8,41EC5772,00000000,3CCE7F3A,00000000,41BCF47A,41FA1EBC,00000000,00000000,00000000,00000000
4,1500.0,7,46A04FA4,41DFFE17,00000000,3CDE4630,00000000,41B37AE6,41EC5772,00000000,00000000,00000000,00000000
4,1500.0,8,46B3F860,41D4CB00,00000000,3CEDBDF5,00000000,41AAF716,41DFFE17,00000000,00000000,00000000,00000000
4,1500.0,9,46C77754,41CA8A54,00000000,3CFCF490,00000000,41A33A1C,41D4CB00,00000000,00000000,00000000,00000000
4,1500.0,10,46DACBE0,41C11548,00000000,3D05F9C3,00000000,419C21B4,41CA8A54,00000000,00000000,00000000,00000000
4,1500.0,11,46EDF550,41B84E0C,00000000,3D0CFFFA,00000000,4195963A,41C11548,00000000,00000000,00000000,00000000
4,1500.0,12,47007974,41B01D2C,00000000,3D137EAE,00000000,418F835E,41B84E0C,00000000,00000000,00000000,00000000
4,1500.0,13,4709E1F6,41A86FE6,00000000,3D19871C,00000000,4189D86D,41B01D2C,00000000,00000000,00000000,00000000
4,1500.0,14,471333CA,41A136EC,00000000,3D1F26B3,00000000,41848804,41A86FE6,00000000,00000000,00000000,00000000
4,1500.0,15,471C6E89,419A65A6,00000000,3D246B76,00000000,417F0E28,41A136EC,00000000,00000000,00000000,00000000
4,1500.0,16,472591C4,4193F188,00000000,3D295FAF,00000000,417598C1,419A65A6,00000000,00000000,00000000,00000000
4,1500.0,17,472E9D0C,418DD1B4,00000000,3D2E07B3,00000000,416CA034,4193F188,00000000,00000000,00000000,00000000
4,1500.0,18,47378FE4,4187FE96,00000000,3D3262CD,00000000,41641720,418DD1B4,00000000,00000000,00000000,00000000
4,1500.0,19,474069D0,418271B3,00000000,3D366C74,00000000,415BF20D,4187FE96,00000000,00000000,00000000,00000000
4,1500.0,20,47492A4A,417A4ADF,00000000,3D3A1D7A,00000000,4154272C,418271B3,00000000,00000000,00000000,00000000
4,1500.0,21,4751D0C6,417029D8,00000000,3D3D6D9E,00000000,414CAE55,417A4ADF,00000000,00000000,00000000,00000000
4,1500.0,22,475A5CB1,416677D0,00000000,3D405548,00000000,414580F3,417029D8,00000000,00000000,00000000,00000000
4,1500.0,23,4762CD6E,415D2D53,00000000,3D42CEDC,00000000,413E99E9,416677D0,00000000,00000000,00000000,00000000
4,1500.0,24,476B2254,415443CE,00000000,3D44D4AC,00000000,4137F4BB,415D2D53,00000000,00000000,00000000,00000000
