band,i,x_bits,y_bits,x,y
coarse,304,C231B852,1F6F0826,-4.443000031E+01,5.061695883E-20
coarse,305,C231B666,1F6F7B1A,-4.442812347E+01,5.071204582E-20
coarse,306,C231B47B,1F6FEE0A,-4.442625046E+01,5.080711990E-20
coarse,307,C231B28F,1F70616D,-4.442437363E+01,5.090256555E-20
coarse,308,C231B0A4,1F70D4CB,-4.442250061E+01,5.099799505E-20
coarse,309,C231AEB8,1F71489D,-4.442062378E+01,5.109379937E-20
coarse,310,C231ACCD,1F71BC6B,-4.441875076E+01,5.118959076E-20
coarse,311,C231AAE1,1F7230AC,-4.441687393E+01,5.128575374E-20
coarse,312,C231A8F6,1F72A4E9,-4.441500092E+01,5.138190379E-20
coarse,313,C231A70A,1F73199A,-4.441312408E+01,5.147842866E-20
coarse,314,C231A51F,1F738E47,-4.441125107E+01,5.157494061E-20
coarse,315,C231A333,1F740368,-4.440937424E+01,5.167182737E-20
coarse,316,C231A148,1F747885,-4.440750122E+01,5.176870120E-20
coarse,317,C2319F5C,1F74EE17,-4.440562439E+01,5.186595309E-20
coarse,318,C2319D71,1F7563A4,-4.440375137E+01,5.196318881E-20
coarse,319,C2319B85,1F75D9A8,-4.440187454E+01,5.206080905E-20
coarse,320,C231999A,1F764FA6,-4.440000153E+01,5.215840990E-20
coarse,321,C23197AE,1F76C61B,-4.439812469E+01,5.225639526E-20
coarse,322,C23195C3,1F773C8B,-4.439625168E+01,5.235436446E-20
coarse,323,C23193D7,1F77B371,-4.439437485E+01,5.245271495E-20
coarse,324,C23191EC,1F782A53,-4.439250183E+01,5.255105250E-20
coarse,325,C2319000,1F78A1AC,-4.439062500E+01,5.264977457E-20
coarse,326,C2318E14,1F79193E,-4.438874817E+01,5.274868081E-20
coarse,327,C2318C29,1F7990CC,-4.438687515E+01,5.284757413E-20
coarse,328,C2318A3D,1F7A08D1,-4.438499832E+01,5.294685196E-20
coarse,329,C2318852,1F7A80D2,-4.438312531E+01,5.304611687E-20
coarse,330,C2318666,1F7AF94B,-4.438124847E+01,5.314576951E-20
coarse,331,C231847B,1F7B71BE,-4.437937546E+01,5.324540277E-20
coarse,332,C231828F,1F7BEAAB,-4.437749863E+01,5.334543023E-20
coarse,333,C23180A4,1F7C6393,-4.437562561E+01,5.344544154E-20
coarse,334,C2317EB8,1F7CDCF4,-4.437374878E+01,5.354584382E-20
coarse,335,C2317CCD,1F7D5650,-4.437187576E+01,5.364622994E-20
coarse,336,C2317AE1,1F7DD026,-4.436999893E+01,5.374701027E-20
coarse,337,C23178F6,1F7E49F6,-4.436812592E+01,5.384777120E-20
coarse,338,C231770A,1F7EC441,-4.436624908E+01,5.394892958E-20
coarse,339,C231751F,1F7F3E87,-4.436437607E+01,5.405007179E-20
coarse,340,C2317333,1F7FB948,-4.436249924E+01,5.415161145E-20
coarse,341,C2317148,1F801A02,-4.436062622E+01,5.425313494E-20
coarse,342,C2316F5C,1F80579D,-4.435874939E+01,5.435505264E-20
coarse,343,C2316D71,1F809536,-4.435687637E+01,5.445695741E-20
coarse,344,C2316B85,1F80D30C,-4.435499954E+01,5.455925639E-20
coarse,345,C231699A,1F8110E0,-4.435312653E+01,5.466154244E-20
