field,step,k,j,i,value,bits
msfux,0,0,10,1, 1.014914155E+000,1065478325
msfux,0,0,10,2, 1.010310054E+000,1065439703
msfux,0,0,10,3, 1.004784942E+000,1065393355
msfux,0,0,10,4, 9.988325238E-001,1065333629
msfux,0,0,10,5, 9.929843545E-001,1065235513
msfux,0,0,10,6, 9.877628088E-001,1065147910
msfux,0,0,10,7, 9.836344719E-001,1065078648
msfux,0,0,10,8, 9.809679389E-001,1065033911
msfux,0,0,10,9, 9.800015092E-001,1065017697
msfux,0,0,10,10, 9.808214903E-001,1065031454
msfux,0,0,10,11, 9.833546281E-001,1065073953
msfux,0,0,10,12, 9.873746634E-001,1065141398
msfux,0,0,10,13, 9.925224781E-001,1065227764
msfux,0,0,10,14, 9.983382225E-001,1065325336
msfux,0,0,10,15, 1.004302382E+000,1065389307
msfux,0,0,11,1, 1.011969447E+000,1065453623
msfux,0,0,11,2, 1.006699800E+000,1065409418
msfux,0,0,11,3, 1.000831604E+000,1065360192
msfux,0,0,11,4, 9.948891997E-001,1065267471
msfux,0,0,11,5, 9.894032478E-001,1065175432
msfux,0,0,11,6, 9.848639369E-001,1065099275
msfux,0,0,11,7, 9.816766977E-001,1065045802
msfux,0,0,11,8, 9.801262021E-001,1065019789
msfux,0,0,11,9, 9.803509712E-001,1065023560
msfux,0,0,11,10, 9.823309183E-001,1065056778
msfux,0,0,11,11, 9.858891964E-001,1065116476
msfux,0,0,11,12, 9.907079339E-001,1065197321
msfux,0,0,11,13, 9.963567853E-001,1065292093
msfux,0,0,11,14, 1.002331018E+000,1065372770
msfux,0,0,11,15, 1.008097053E+000,1065421139
msfux,0,0,12,1, 1.008547544E+000,1065424918
msfux,0,0,12,2, 1.002822399E+000,1065376892
msfux,0,0,12,3, 9.968450665E-001,1065300285
msfux,0,0,12,4, 9.911496043E-001,1065204731
msfux,0,0,12,5, 9.862446785E-001,1065122440
msfux,0,0,12,6, 9.825685024E-001,1065060764
msfux,0,0,12,7, 9.804493785E-001,1065025211
msfux,0,0,12,8, 9.800767303E-001,1065018959
msfux,0,0,12,9, 9.814836979E-001,1065042564
msfux,0,0,12,10, 9.845446944E-001,1065093919
msfux,0,0,12,11, 9.889863133E-001,1065168437
msfux,0,0,12,12, 9.944117069E-001,1065259460
msfux,0,0,12,13, 1.000336289E+000,1065356037
msfux,0,0,12,14, 1.006230831E+000,1065405484
msfux,0,0,12,15, 1.011568785E+000,1065450262
msfvy,0,0,1,1, 1.019900084E+000,1065520150
msfvy,0,0,1,2, 1.018787503E+000,1065510817
msfvy,0,0,1,3, 1.016506672E+000,1065491684
msfvy,0,0,1,4, 1.013199687E+000,1065463943
msfvy,0,0,1,5, 1.009071946E+000,1065429317
msfvy,0,0,1,6, 1.004380107E+000,1065389959
msfvy,0,0,1,7, 9.994159937E-001,1065343418
msfvy,0,0,1,8, 9.944881797E-001,1065260743
msfvy,0,0,1,9, 9.899030924E-001,1065183818
msfvy,0,0,1,10, 9.859457612E-001,1065117425
msfvy,0,0,1,11, 9.828622341E-001,1065065692
msfvy,0,0,1,12, 9.808442593E-001,1065031836
msfvy,0,0,1,13, 9.800173044E-001,1065017962
msfvy,0,0,1,14, 9.804327488E-001,1065024932
msfvy,0,0,2,1, 1.019974947E+000,1065520778
msfvy,0,0,2,2, 1.019601345E+000,1065517644
msfvy,0,0,2,3, 1.018008947E+000,1065504286
