k,tbq
1210,0.840206519E-1
1211,0.844953880E-1
1212,0.849724784E-1
1213,0.854522660E-1
1214,0.859344304E-1
1215,0.864189938E-1
1216,0.869062841E-1
1217,0.873959884E-1
1218,0.878882855E-1
1219,0.883831829E-1
1220,0.888807029E-1
1221,0.893806815E-1
1222,0.898832977E-1
1223,0.903884023E-1
1224,0.908963382E-1
1225,0.914067924E-1
1226,0.919199213E-1
1227,0.924357623E-1
1228,0.929541513E-1
1229,0.934754387E-1
1230,0.939992815E-1
1231,0.945257172E-1
1232,0.950550884E-1
1233,0.955870673E-1
1234,0.961218402E-1
1235,0.966594145E-1
1236,0.971996263E-1
1237,0.977428630E-1
1238,0.982887521E-1
1239,0.988373235E-1
1240,0.993889496E-1
1241,0.999432728E-1
1242,0.100500494
1243,0.101060636
1244,0.101623699
1245,0.102189511
1246,0.102758281
1247,0.103330016
1248,0.103904538
